# time disp shear stiffness
7.1571571572e+00 1.7920578528e-02 5.1980144632e+05 2.5000000000e+06
7.1671671672e+00 1.8654562678e-02 5.2163640669e+05 2.5000000000e+06
7.1771771772e+00 1.9316655572e-02 5.2329163893e+05 2.5000000000e+06
7.1871871872e+00 1.9904029436e-02 5.2476007359e+05 2.5000000000e+06
7.1971971972e+00 2.0414145372e-02 5.2603536343e+05 2.5000000000e+06
7.2072072072e+00 2.0844764255e-02 5.2711191064e+05 2.5000000000e+06
7.2172172172e+00 2.1193956465e-02 5.2798489116e+05 2.5000000000e+06
7.2272272272e+00 2.1460110413e-02 5.2865027603e+05 2.5000000000e+06
7.2372372372e+00 2.1641939827e-02 5.2910484957e+05 2.5000000000e+06
7.2472472472e+00 2.1738489763e-02 5.2934622441e+05 2.5000000000e+06
7.2572572573e+00 2.1749141316e-02 5.2937285329e+05 2.5000000000e+06
7.2672672673e+00 2.1673615001e-02 5.2559653754e+05 5.0000000000e+07
7.2772772773e+00 2.1511972801e-02 5.1751442752e+05 5.0000000000e+07
7.2872872873e+00 2.1264618854e-02 5.0514673017e+05 5.0000000000e+07
7.2972972973e+00 2.0932298788e-02 4.8853072686e+05 5.0000000000e+07
7.3073073073e+00 2.0516097689e-02 4.6772067195e+05 5.0000000000e+07
7.3173173173e+00 2.0017436720e-02 4.4278762348e+05 5.0000000000e+07
