time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
1.51,0.188094467434499,0.000256251605124015,1.78998585756569e-05,4.09043618106805e-06,-2.66935445097956e-06,0.000186696220023332,1100.19669854969
1.52,-0.0278302760280766,0.000183423900756907,1.33783145995971e-05,3.51726224515944e-06,-3.1207484712198e-06,0.000133834518612175,783.026490082748
1.53,-0.116122693184905,0.000110614335343546,8.75689544543762e-06,2.85141598542386e-06,-3.37264432427031e-06,8.09659337598178e-05,465.814980968605
1.54,-0.120271525957001,4.77313801582568e-05,4.61562562802701e-06,2.03905637690112e-06,-3.41387805456349e-06,3.60644859369442e-05,196.406294031363
1.55,-0.166344518419772,-1.70137097215003e-06,1.16556314349858e-06,1.06032274541954e-06,-3.25609399130356e-06,2.00737819643758e-06,-7.93633393480545
1.56,-0.103263170942817,-3.69212980359248e-05,-1.53009076384255e-06,-7.01419144200096e-08,-2.93294864623727e-06,-2.06018452677254e-05,-143.588675328062
1.57,0.0577663295025935,-6.40347143468707e-05,-3.81179082816851e-06,-1.31171969310074e-06,-2.49467104964637e-06,-3.66092606915744e-05,-239.627276756673
1.58,0.0174112888596863,-9.17338702417029e-05,-6.1715864093565e-06,-2.61411799140515e-06,-1.99899025779707e-06,-5.29089694708915e-05,-337.413655367886
1.59,-0.159120814248078,-0.000117681940566681,-8.42733594283378e-06,-3.92539206844191e-06,-1.50514155312934e-06,-6.77936101348231e-05,-426.704166647058
1.6,-0.112752308868405,-0.000133279135579768,-1.00119122091282e-05,-5.18677646391599e-06,-1.07293940259952e-06,-7.4701274507451e-05,-468.140439010479
1.61,0.0708921108661179,-0.000141096301526696,-1.10389448456344e-05,-6.33448503524231e-06,-7.5909232776103e-07,-7.58192215755998e-05,-474.846454146485
1.62,0.159406162710622,-0.000153733166112398,-1.22433517930796e-05,-7.31809343705157e-06,-6.07479803527855e-07,-8.11250359912258e-05,-506.672588035269
1.63,0.227720716700046,-0.000181917018718376,-1.42658613957778e-05,-8.12057684383889e-06,-6.39898410412544e-07,-9.90222067782713e-05,-614.012528197266
1.64,0.198786729676967,-0.000230518391620833,-1.74144783391607e-05,-8.76750194355936e-06,-8.52567822335489e-07,-0.000133194018442633,-818.897442211192
1.65,0.0945138069635648,-0.000297134883135881,-2.15753170108798e-05,-9.32314502611202e-06,-1.21922911896701e-06,-0.000181511194974429,-1108.42297082329
1.66,-0.0146757862788332,-0.000373040436125295,-2.62617703114738e-05,-9.87486217013688e-06,-1.69986854396685e-06,-0.000236829032433216,-1439.60153589211
